"feature_token","feature_lemma","feature_pos","characteristics","dependency_relation","concept_token","concept_lemma","concept_pos","freq","id"
"art","art","NOUN","Number=Sing","nmod","tendency","tendency","NOUN",2,"art tendency"
"radio","radio","NOUN","Number=Sing","nmod","nut","nut","NOUN",4,"radio nut"
"art","art","NOUN","Number=Sing","obj","create","create","VERB",258,"art create"
"radio","radio","NOUN","Number=Sing","nsubj","ask","ask","VERB",3,"radio ask"
"radio","radio","NOUN","Number=Sing","nsubj","locked","lock","VERB",5,"radio lock"
"band","band","NOUN","Number=Sing","obj","kill","kill","VERB",18,"band kill"
"radio","radio","NOUN","Number=Sing","nmod","voice","voice","NOUN",566,"radio voice"
"radio","radio","NOUN","Number=Sing","obl","chattering","chatter","VERB",1454,"radio chatter"
"radio","radio","NOUN","Number=Sing","nmod","dallas","dalla","NOUN",11,"radio dalla"
"radio","radio","NOUN","Number=Sing","nmod","voices","voice","NOUN",258,"radio voice"
"radio","radio","NOUN","Number=Sing","nmod","lambert","lambert","NOUN",3,"radio lambert"
"arts","art","NOUN","Number=Plur","obj","promote","promote","VERB",30,"art promote"
"art","art","NOUN","Number=Sing","obj","prefers","prefer","VERB",5,"art prefer"
"concert","concert","NOUN","Number=Sing","nmod","money","money","NOUN",23,"concert money"
"art","art","NOUN","Number=Sing","nsubj","displeased","displease","VERB",8,"art displease"
"art","art","NOUN","Number=Sing","obl","spends","spend","VERB",6,"art spend"
"art","art","NOUN","Number=Sing","nmod","works","work","NOUN",1336,"art work"
"radio","radio","NOUN","Number=Sing","nmod","dalek","dalek","NOUN",8,"radio dalek"
"radio","radio","NOUN","Number=Sing","obl","comes","come","VERB",140,"radio come"
"band","band","NOUN","Number=Sing","obj","see","see","VERB",793,"band see"
"art","art","NOUN","Number=Sing","nsubj","walks","walk","VERB",5,"art walk"
"radio","radio","NOUN","Number=Sing","nmod","song","song","NOUN",399,"radio song"
"band","band","NOUN","Number=Sing","nsubj","plays","play","VERB",2002,"band play"
"radio","radio","NOUN","Number=Sing","nsubj","plays","play","VERB",556,"radio play"
"band","band","NOUN","Number=Sing","obj","keep","keep","VERB",104,"band keep"
"concert","concert","NOUN","Number=Sing","obj","preferred","prefer","VERB",1,"concert prefer"
"radios","radio","NOUN","Number=Plur","nsubj","broke","broke","VERB",1,"radio broke"
"radio","radio","NOUN","Number=Sing","obl","get","get","VERB",2823,"radio get"
"radio","radio","NOUN","Number=Sing","obl","call","call","VERB",262,"radio call"
"radio","radio","NOUN","Number=Sing","nmod","elvis","elvi","NOUN",4,"radio elvi"
"radio","radio","NOUN","Number=Sing","obl","singing","singe","VERB",710,"radio singe"
"band","band","NOUN","Number=Sing","obj","want","want","VERB",219,"band want"
"concert","concert","NOUN","Number=Sing","nmod","deal","deal","NOUN",6,"concert deal"
"concerts","concert","NOUN","Number=Plur","nmod","couple","couple","NOUN",23,"concert couple"
"concerts","concert","NOUN","Number=Plur","obl","tired","tire","ADJ",4,"concert tire"
"bands","band","NOUN","Number=Plur","nsubj","starts","start","VERB",1,"band start"
"band","band","NOUN","Number=Sing","nsubj","starts","start","VERB",237,"band start"
"band","band","NOUN","Number=Sing","obl","tied","tie","VERB",28,"band tie"
"bands","band","NOUN","Number=Plur","obj","use","use","VERB",32,"band use"
"concert","concert","NOUN","Number=Sing","obj","like","like","VERB",50,"concert like"
"concert","concert","NOUN","Number=Sing","obj","find","find","VERB",6,"concert find"
"art","art","NOUN","Number=Sing","obj","learn","learn","VERB",444,"art learn"
"art","art","NOUN","Number=Sing","nmod","unselfishness","unselfishness","NOUN",26,"art unselfishness"
"concert","concert","NOUN","Number=Sing","obl","practice","practice","VERB",5,"concert practice"
"radio","radio","NOUN","Number=Sing","obj","buy","buy","VERB",123,"radio buy"
"art","art","NOUN","Number=Sing","obl","known","know","VERB",47,"art know"
"arts","art","NOUN","Number=Plur","nmod","bit","bit","NOUN",8,"art bit"
"band","band","NOUN","Number=Sing","nmod","corpse","corpse","NOUN",3,"band corpse"
"arts","art","NOUN","Number=Plur","obl","good","good","ADJ",63,"art good"
"art","art","NOUN","Number=Sing","nmod","teacher","teacher","NOUN",13,"art teacher"
"radio","radio","NOUN","Number=Sing","obl","listened","listen","VERB",389,"radio listen"
"radio","radio","NOUN","Number=Sing","obj","brought","bring","VERB",89,"radio bring"
"radio","radio","NOUN","Number=Sing","obj","reported","report","VERB",21,"radio report"
"band","band","NOUN","Number=Sing","nsubj","warming","warm","VERB",22,"band warm"
"radio","radio","NOUN","Number=Sing","nsubj","started","start","VERB",9,"radio start"
"radio","radio","NOUN","Number=Sing","nsubj","phoned","phone","VERB",1,"radio phone"
"art","art","NOUN","Number=Sing","nmod","history","history","NOUN",275,"art history"
"art","art","NOUN","Number=Sing","obj","appreciates","appreciate","VERB",85,"art appreciate"
"radio","radio","NOUN","Number=Sing","nmod","jason","jason","NOUN",1,"radio jason"
"art","art","NOUN","Number=Sing","nmod","pursuit","pursuit","NOUN",22,"art pursuit"
"bands","band","NOUN","Number=Plur","obj","knows","know","VERB",3,"band know"
"band","band","NOUN","Number=Sing","obj","got","get","VERB",1273,"band get"
"band","band","NOUN","Number=Sing","obl","play","play","VERB",824,"band play"
"band","band","NOUN","Number=Sing","obj","hear","hear","VERB",299,"band hear"
"concerts","concert","NOUN","Number=Plur","obj","live","live","VERB",2,"concert live"
"radio","radio","NOUN","Number=Sing","nmod","banality","banality","NOUN",1,"radio banality"
"radio","radio","NOUN","Number=Sing","nmod","time","time","NOUN",54,"radio time"
"art","art","NOUN","Number=Sing","nmod","component","component","NOUN",1,"art component"
"radio","radio","NOUN","Number=Sing","nsubj","help","help","VERB",5,"radio help"
"radio","radio","NOUN","Number=Sing","obj","don","don","NOUN",182,"radio don"
"radio","radio","NOUN","Number=Sing","obj","using","use","VERB",127,"radio use"
"concert","concert","NOUN","Number=Sing","nmod","seats","seat","NOUN",43,"concert seat"
"art","art","NOUN","Number=Sing","obj","practised","practise","VERB",9,"art practise"
"concert","concert","NOUN","Number=Sing","obl","met","meet","VERB",166,"concert meet"
"concert","concert","NOUN","Number=Sing","obl","saw","see","VERB",114,"concert see"
"concerts","concert","NOUN","Number=Plur","nmod","girl","girl","NOUN",8,"concert girl"
"art","art","NOUN","Number=Sing","obj","use","use","VERB",213,"art use"
"concerts","concert","NOUN","Number=Plur","nmod","colette","colette","NOUN",1,"concert colette"
"radio","radio","NOUN","Number=Sing","obl","advertised","advertise","VERB",9,"radio advertise"
"concerts","concert","NOUN","Number=Plur","obl","assuming","assume","VERB",4,"concert assume"
"art","art","NOUN","Number=Sing","obj","isn","isn","VERB",61,"art isn"
"radio","radio","NOUN","Number=Sing","obj","playing","play","VERB",647,"radio play"
"concerts","concert","NOUN","Number=Plur","obl","used","use","VERB",23,"concert use"
"arts","art","NOUN","Number=Plur","obl","untrained","untrained","ADJ",1,"art untrained"
"art","art","NOUN","Number=Sing","obl","extraordinary","extraordinary","ADJ",4,"art extraordinary"
"art","art","NOUN","Number=Sing","nsubj","reappeared","reappear","VERB",1,"art reappear"
"radio","radio","NOUN","Number=Sing","nsubj","clicks","click","VERB",156,"radio click"
"art","art","NOUN","Number=Sing","nmod","meaning","meaning","NOUN",28,"art meaning"
"band","band","NOUN","Number=Sing","obj","admiring","admir","VERB",8,"band admir"
"radio","radio","NOUN","Number=Sing","obj","discovered","discover","VERB",9,"radio discover"
"art","art","NOUN","Number=Sing","obj","make","make","VERB",761,"art make"
"radio","radio","NOUN","Number=Sing","nmod","orchestra","orchestra","NOUN",6,"radio orchestra"
"bands","band","NOUN","Number=Plur","nsubj","'s","be","VERB",95,"band be"
"radio","radio","NOUN","Number=Sing","obj","speaking","speak","VERB",153,"radio speak"
"radio","radio","NOUN","Number=Sing","nsubj","works","work","VERB",172,"radio work"
"radio","radio","NOUN","Number=Sing","nmod","chatter","chatter","NOUN",1013,"radio chatter"
"radio","radio","NOUN","Number=Sing","nsubj","come","come","VERB",99,"radio come"
"radio","radio","NOUN","Number=Sing","obl","hearing","hear","VERB",71,"radio hear"
"art","art","NOUN","Number=Sing","nmod","form","form","NOUN",189,"art form"
"art","art","NOUN","Number=Sing","obj","remain","remain","VERB",2,"art remain"
"art","art","NOUN","Number=Sing","obl","crucial","crucial","ADJ",1,"art crucial"
"art","art","NOUN","Number=Sing","obl","progress","progress","VERB",2,"art progress"
"band","band","NOUN","Number=Sing","nsubj","set","set","ADJ",6,"band set"
"band","band","NOUN","Number=Sing","nsubj","turns","turn","VERB",7,"band turn"
"band","band","NOUN","Number=Sing","nmod","part","part","NOUN",189,"band part"
"concert","concert","NOUN","Number=Sing","nmod","middle","middle","NOUN",64,"concert middle"
"band","band","NOUN","Number=Sing","nmod","gig","gig","NOUN",20,"band gig"
"art","art","NOUN","Number=Sing","nmod","is","be","VERB",4,"art be"
"concert","concert","NOUN","Number=Sing","obj","enjoyed","enjoy","VERB",25,"concert enjoy"
"band","band","NOUN","Number=Sing","nmod","word","word","NOUN",18,"band word"
"art","art","NOUN","Number=Sing","nsubj","'s","be","VERB",447,"art be"
"radio","radio","NOUN","Number=Sing","nmod","soap","soap","NOUN",1,"radio soap"
"art","art","NOUN","Number=Sing","obj","dislike","dislike","VERB",2,"art dislike"
"radio","radio","NOUN","Number=Sing","nsubj","great","great","ADJ",4,"radio great"
"art","art","NOUN","Number=Sing","obl","looking","look","VERB",137,"art look"
"radio","radio","NOUN","Number=Sing","nmod","traffic","traffic","NOUN",1,"radio traffic"
"radio","radio","NOUN","Number=Sing","nmod","shapp","shapp","NOUN",1,"radio shapp"
"radio","radio","NOUN","Number=Sing","obl","come","come","VERB",159,"radio come"
"radio","radio","NOUN","Number=Sing","obl","roy","roy","VERB",2,"radio roy"
"radio","radio","NOUN","Number=Sing","obj","switches","switch","VERB",97,"radio switch"
"radio","radio","NOUN","Number=Sing","nmod","messiah","messiah","NOUN",4,"radio messiah"
"concert","concert","NOUN","Number=Sing","nmod","excavations","excavation","NOUN",1,"concert excavation"
"band","band","NOUN","Number=Sing","nsubj","continues","continue","VERB",315,"band continue"
"radio","radio","NOUN","Number=Sing","obl","go","go","VERB",331,"radio go"
"band","band","NOUN","Number=Sing","obj","swing","sw","VERB",10,"band sw"
"radio","radio","NOUN","Number=Sing","obj","got","get","VERB",1418,"radio get"
"radio","radio","NOUN","Number=Sing","obj","have","have","VERB",1722,"radio have"
"band","band","NOUN","Number=Sing","obj","heard","hear","VERB",140,"band hear"
"radio","radio","NOUN","Number=Sing","obl","contact","contact","VERB",154,"radio contact"
"radio","radio","NOUN","Number=Sing","obj","tearing","tear","VERB",2,"radio tear"
"radio","radio","NOUN","Number=Sing","obj","tuning","tune","VERB",91,"radio tune"
"radio","radio","NOUN","Number=Sing","obj","hear","hear","VERB",286,"radio hear"
"radio","radio","NOUN","Number=Sing","nmod","shit","shit","NOUN",22,"radio shit"
"band","band","NOUN","Number=Sing","obl","joined","join","VERB",16,"band join"
"radio","radio","NOUN","Number=Sing","nsubj","restriction","restriction","NOUN",1,"radio restriction"
"radio","radio","NOUN","Number=Sing","nmod","announcer","announcer","NOUN",298,"radio announcer"
"band","band","NOUN","Number=Sing","obj","swing","swing","VERB",1,"band swing"
"art","art","NOUN","Number=Sing","nmod","specimen","specimen","NOUN",6,"art specimen"
"art","art","NOUN","Number=Sing","obl","interested","interested","ADJ",503,"art interested"
"concert","concert","NOUN","Number=Sing","nmod","part","part","NOUN",20,"concert part"
"concert","concert","NOUN","Number=Sing","nmod","parts","part","NOUN",1,"concert part"
"radio","radio","NOUN","Number=Sing","obl","small","small","ADJ",6,"radio small"
"art","art","NOUN","Number=Sing","nmod","piece","piece","NOUN",1450,"art piece"
"art","art","NOUN","Number=Sing","nsubj","lies","lie","VERB",26,"art lie"
"radio","radio","NOUN","Number=Sing","nmod","chestnut","chestnut","NOUN",1,"radio chestnut"
"radio","radio","NOUN","Number=Sing","obj","deering","deer","VERB",2,"radio deer"
"radio","radio","NOUN","Number=Sing","obl","happened","happene","VERB",1,"radio happene"
"band","band","NOUN","Number=Sing","nsubj","fucker","fucker","NOUN",3,"band fucker"
"band","band","NOUN","Number=Sing","nsubj","bitch","bitch","NOUN",3,"band bitch"
"radio","radio","NOUN","Number=Sing","obl","came","come","VERB",361,"radio come"
"band","band","NOUN","Number=Sing","obj","wore","wear","VERB",28,"band wear"
"band","band","NOUN","Number=Sing","nsubj","'s","be","VERB",821,"band be"
"band","band","NOUN","Number=Sing","nsubj","wants","want","VERB",46,"band want"
"radio","radio","NOUN","Number=Sing","nmod","hopper","hopper","NOUN",2,"radio hopper"
"radios","radio","NOUN","Number=Plur","obl","announced","announce","VERB",2,"radio announce"
"radio","radio","NOUN","Number=Sing","obl","said","say","VERB",345,"radio say"
"art","art","NOUN","Number=Sing","nmod","legacy","legacy","NOUN",4,"art legacy"
"band","band","NOUN","Number=Sing","obj","carried","carry","VERB",2,"band carry"
"radio","radio","NOUN","Number=Sing","nmod","spot","spot","NOUN",38,"radio spot"
"radio","radio","NOUN","Number=Sing","obj","belleve","belleve","VERB",1,"radio belleve"
"concert","concert","NOUN","Number=Sing","obj","ling","ling","VERB",1,"concert ling"
"radio","radio","NOUN","Number=Sing","obj","heard","hear","VERB",197,"radio hear"
"bands","band","NOUN","Number=Plur","obj","let","let","VERB",8,"band let"
"band","band","NOUN","Number=Sing","nmod","man","man","NOUN",78,"band man"
"bands","band","NOUN","Number=Plur","nsubj","want","want","VERB",7,"band want"
"bands","band","NOUN","Number=Plur","obj","find","find","VERB",30,"band find"
"band","band","NOUN","Number=Sing","nsubj","decided","decide","VERB",40,"band decide"
"band","band","NOUN","Number=Sing","nsubj","comes","come","VERB",58,"band come"
"band","band","NOUN","Number=Sing","nsubj","show","show","NOUN",1,"band show"
"band","band","NOUN","Number=Sing","nsubj","come","come","VERB",104,"band come"
"band","band","NOUN","Number=Sing","nsubj","give","give","VERB",5,"band give"
"band","band","NOUN","Number=Sing","nsubj","gives","give","VERB",2,"band give"
"art","art","NOUN","Number=Sing","nsubj","perish","perish","VERB",1,"art perish"
"radio","radio","NOUN","Number=Sing","nsubj","knew","know","VERB",1,"radio know"
"radio","radio","NOUN","Number=Sing","nsubj","forecasts","forecast","VERB",1,"radio forecast"
"radio","radio","NOUN","Number=Sing","nsubj","was","be","VERB",120,"radio be"
"radio","radio","NOUN","Number=Sing","obj","pick","pick","VERB",231,"radio pick"
"bands","band","NOUN","Number=Plur","obj","tried","try","VERB",8,"band try"
"band","band","NOUN","Number=Sing","nmod","members","member","NOUN",177,"band member"
"art","art","NOUN","Number=Sing","nsubj","works","work","VERB",24,"art work"
"concert","concert","NOUN","Number=Sing","nsubj","sold","sell","VERB",58,"concert sell"
"concert","concert","NOUN","Number=Sing","obj","doing","do","VERB",172,"concert do"
"concert","concert","NOUN","Number=Sing","obj","did","do","VERB",94,"concert do"
"band","band","NOUN","Number=Sing","nmod","road","road","NOUN",61,"band road"
"concert","concert","NOUN","Number=Sing","obj","needs","need","VERB",5,"concert need"
"band","band","NOUN","Number=Sing","obj","hurt","hurt","VERB",7,"band hurt"
"concert","concert","NOUN","Number=Sing","obl","get","get","VERB",418,"concert get"
"concert","concert","NOUN","Number=Sing","obl","taking","take","VERB",203,"concert take"
"arts","art","NOUN","Number=Plur","nsubj","standard","standard","NOUN",1,"art standard"
"radio","radio","NOUN","Number=Sing","obj","touched","touche","VERB",4,"radio touche"
"art","art","NOUN","Number=Sing","nsubj","is","be","VERB",476,"art be"
"art","art","NOUN","Number=Sing","obl","wise","wise","ADJ",3,"art wise"
"art","art","NOUN","Number=Sing","obl","turned","turn","VERB",66,"art turn"
"art","art","NOUN","Number=Sing","nmod","leaves","leave","NOUN",2,"art leave"
"radio","radio","NOUN","Number=Sing","obl","put","put","VERB",482,"radio put"
"band","band","NOUN","Number=Sing","nmod","sound","sound","NOUN",55,"band sound"
"band","band","NOUN","Number=Sing","obj","formed","form","VERB",187,"band form"
"band","band","NOUN","Number=Sing","nmod","taste","taste","NOUN",1,"band taste"
"art","art","NOUN","Number=Sing","obj","shitting","shit","VERB",2,"art shit"
"band","band","NOUN","Number=Sing","nsubj","listens","listen","VERB",2,"band listen"
"arts","art","NOUN","Number=Plur","obj","prefer","prefer","VERB",15,"art prefer"
"concert","concert","NOUN","Number=Sing","obj","look","look","VERB",7,"concert look"
"radio","radio","NOUN","Number=Sing","nmod","access","access","NOUN",23,"radio access"
"radio","radio","NOUN","Number=Sing","nsubj","tell","tell","VERB",25,"radio tell"
"radio","radio","NOUN","Number=Sing","nsubj","takes","take","VERB",14,"radio take"
"band","band","NOUN","Number=Sing","obl","good","good","ADJ",48,"band good"
"art","art","NOUN","Number=Sing","nsubj","was","be","VERB",126,"art be"
"radio","radio","NOUN","Number=Sing","obj","loved","love","VERB",7,"radio love"
"radios","radio","NOUN","Number=Plur","obl","outfit","outfit","VERB",2,"radio outfit"
"radio","radio","NOUN","Number=Sing","nsubj","turned","turn","VERB",86,"radio turn"
"arts","art","NOUN","Number=Plur","obj","learning","learn","VERB",43,"art learn"
"arts","art","NOUN","Number=Plur","nmod","feature","feature","NOUN",2,"art feature"
"arts","art","NOUN","Number=Plur","obj","lear","lear","VERB",17,"art lear"
"radio","radio","NOUN","Number=Sing","nsubj","'s","be","VERB",480,"radio be"
"radio","radio","NOUN","Number=Sing","nsubj","have","have","VERB",29,"radio have"
"art","art","NOUN","Number=Sing","obj","have","have","VERB",376,"art have"
"radio","radio","NOUN","Number=Sing","nsubj","able","able","ADJ",5,"radio able"
"band","band","NOUN","Number=Sing","obj","monitor","monitor","VERB",10,"band monitor"
"arts","art","NOUN","Number=Plur","obl","retire","retire","VERB",1,"art retire"
"arts","art","NOUN","Number=Plur","nmod","form","form","NOUN",10,"art form"
"arts","art","NOUN","Number=Plur","nsubj","defeat","defeat","VERB",1,"art defeat"
"arts","art","NOUN","Number=Plur","obj","use","use","VERB",45,"art use"
"arts","art","NOUN","Number=Plur","nsubj","is","be","VERB",29,"art be"
"arts","art","NOUN","Number=Plur","nmod","aim","aim","NOUN",1,"art aim"
"arts","art","NOUN","Number=Plur","nsubj","are","be","VERB",7,"art be"
"arts","art","NOUN","Number=Plur","obj","practicing","practice","VERB",50,"art practice"
"arts","art","NOUN","Number=Plur","nsubj","use","use","VERB",6,"art use"
"arts","art","NOUN","Number=Plur","nmod","level","level","NOUN",4,"art level"
"concert","concert","NOUN","Number=Sing","obl","see","see","VERB",266,"concert see"
"concert","concert","NOUN","Number=Sing","nmod","giving","give","VERB",6,"concert give"
"concerts","concert","NOUN","Number=Plur","obj","love","love","VERB",8,"concert love"
"concert","concert","NOUN","Number=Sing","nmod","tickets","ticket","NOUN",364,"concert ticket"
"concert","concert","NOUN","Number=Sing","nsubj","time","time","NOUN",15,"concert time"
"concert","concert","NOUN","Number=Sing","obl","go","go","VERB",1743,"concert go"
"concert","concert","NOUN","Number=Sing","obl","lost","lose","VERB",29,"concert lose"
"concert","concert","NOUN","Number=Sing","obl","got","get","VERB",233,"concert get"
"concert","concert","NOUN","Number=Sing","obj","crash","crash","VERB",13,"concert crash"
"concert","concert","NOUN","Number=Sing","obl","made","make","VERB",36,"concert make"
"concert","concert","NOUN","Number=Sing","obj","attend","attend","VERB",116,"concert attend"
"bands","band","NOUN","Number=Plur","nmod","dance","dance","NOUN",3,"band dance"
"art","art","NOUN","Number=Sing","obl","short","short","ADJ",1,"art short"
"band","band","NOUN","Number=Sing","nsubj","coming","come","VERB",89,"band come"
"radio","radio","NOUN","Number=Sing","obl","listens","listen","VERB",110,"radio listen"
"band","band","NOUN","Number=Sing","obj","form","form","VERB",307,"band form"
"radio","radio","NOUN","Number=Sing","obj","forgot","forget","VERB",42,"radio forget"
"radio","radio","NOUN","Number=Sing","obj","give","give","VERB",959,"radio give"
"art","art","NOUN","Number=Sing","obl","talk","talk","VERB",281,"art talk"
"art","art","NOUN","Number=Sing","obj","collected","collect","VERB",37,"art collect"
"art","art","NOUN","Number=Sing","obj","take","take","VERB",256,"art take"
"band","band","NOUN","Number=Sing","obl","stretches","stretch","VERB",4,"band stretch"
"radio","radio","NOUN","Number=Sing","obl","say","say","VERB",230,"radio say"
"radio","radio","NOUN","Number=Sing","obl","know","know","VERB",108,"radio know"
"radio","radio","NOUN","Number=Sing","nsubj","work","work","VERB",70,"radio work"
"radio","radio","NOUN","Number=Sing","obj","gave","give","VERB",104,"radio give"
"art","art","NOUN","Number=Sing","nmod","freedom","freedom","NOUN",15,"art freedom"
"art","art","NOUN","Number=Sing","nmod","spinelessness","spinelessness","NOUN",2,"art spinelessness"
"arts","art","NOUN","Number=Plur","obl","unfamiliar","unfamiliar","ADJ",4,"art unfamiliar"
"art","art","NOUN","Number=Sing","nmod","classes","class","NOUN",7,"art class"
"radio","radio","NOUN","Number=Sing","obj","kqqk","kqqk","VERB",3,"radio kqqk"
"band","band","NOUN","Number=Sing","nsubj","arrive","arrive","VERB",1,"band arrive"
"radio","radio","NOUN","Number=Sing","nmod","martin","martin","NOUN",5,"radio martin"
"radio","radio","NOUN","Number=Sing","nmod","prayers","prayer","NOUN",1,"radio prayer"
"concert","concert","NOUN","Number=Sing","obj","stones","stone","VERB",6,"concert stone"
"band","band","NOUN","Number=Sing","obj","join","join","VERB",939,"band join"
"radio","radio","NOUN","Number=Sing","nmod","country","country","NOUN",23,"radio country"
"radio","radio","NOUN","Number=Sing","obl","hear","hear","VERB",705,"radio hear"
"radio","radio","NOUN","Number=Sing","nmod","calling","calling","NOUN",4,"radio calling"
"radio","radio","NOUN","Number=Sing","nmod","daniels","daniel","NOUN",2,"radio daniel"
"radio","radio","NOUN","Number=Sing","obl","buck","bike","VERB",1,"radio bike"
"band","band","NOUN","Number=Sing","obl","sing","se","VERB",89,"band se"
