"feature_token","feature_lemma","feature_pos","characteristics","dependency_relation","concept_token","concept_lemma","concept_pos","freq","id"
"green","green","ADJ","Degree=Pos","amod","band","band","NOUN",33,"band green"
"right","right","ADJ","Degree=Pos","amod","band","band","NOUN",38,"band right"
"broken","break","VERB","Tense=Past|VerbForm=Part","amod","band","band","NOUN",4,"band break"
"damned","damned","ADJ","Degree=Pos","amod","radio","radio","NOUN",11,"radio damned"
"dark","dark","ADJ","Degree=Pos","amod","band","band","NOUN",19,"band dark"
"war","war","NOUN","Number=Sing","nmod","arts","art","NOUN",99,"art war"
"war","war","NOUN","Number=Sing","nmod","art","art","NOUN",1247,"art war"
"intrastate","intrastate","ADJ","Degree=Pos","amod","band","band","NOUN",5,"band intrastate"
"management","management","NOUN","Number=Sing","nmod","art","art","NOUN",12,"art management"
"doting","doting","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art doting"
"work","work","NOUN","Number=Sing","obj","radio","radio","NOUN",3,"radio work"
"italian","italian","ADJ","Degree=Pos","amod","art","art","NOUN",69,"art italian"
"stolen","steal","VERB","Tense=Past|VerbForm=Part","amod","art","art","NOUN",243,"art steal"
"greatest","greatest","ADJ","Degree=Sup","amod","art","art","NOUN",88,"art greatest"
"lowest","lowest","ADJ","Degree=Sup","amod","art","art","NOUN",7,"art lowest"
"sorcery","sorcery","NOUN","Number=Sing","nmod","arts","art","NOUN",1,"art sorcery"
"mov","hamove","NOUN","Abbr=Yes|Number=Sing","nsubj","art","art","NOUN",4,"art hamove"
"potent","potent","ADJ","Degree=Pos","amod","art","art","NOUN",29,"art potent"
"help","help","NOUN","Number=Sing","obl","radioed","radio","VERB",141,"radio help"
"coast","coast","NOUN","Number=Sing","nmod","radio","radio","NOUN",20,"radio coast"
"r","be","ADJ","Degree=Cmp","amod","band","band","NOUN",1,"band be"
"dawn","dawn","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art dawn"
"latin","latin","ADJ","Degree=Pos","amod","art","art","NOUN",4,"art latin"
"culinary","culinary","ADJ","Degree=Pos","amod","art","art","NOUN",46,"art culinary"
"pretty","pretty","ADJ","Degree=Pos","amod","band","band","NOUN",9,"band pretty"
"great","great","ADJ","Degree=Pos","amod","art","art","NOUN",1030,"art great"
"lovemaking","lovemaking","NOUN","Number=Sing","nmod","art","art","NOUN",9,"art lovemaking"
"demonic","demonic","ADJ","Degree=Pos","amod","arts","art","NOUN",11,"art demonic"
"news","news","NOUN","Number=Sing","obj","radio","radio","NOUN",1,"radio news"
"lounge","lounge","NOUN","Number=Sing","nmod","concert","concert","NOUN",2,"concert lounge"
"commercial","commercial","ADJ","Degree=Pos","amod","radio","radio","NOUN",33,"radio commercial"
"entire","entire","ADJ","Degree=Pos","amod","band","band","NOUN",111,"band entire"
"men","man","NOUN","Number=Plur","nmod","band","band","NOUN",229,"band man"
"algiers","algier","NOUN","Number=Plur","nmod","band","band","NOUN",2,"band algier"
"elements","element","NOUN","Number=Plur","nmod","band","band","NOUN",1,"band element"
"crooks","crook","NOUN","Number=Plur","nmod","band","band","NOUN",3,"band crook"
"musicians","musician","NOUN","Number=Plur","nmod","band","band","NOUN",11,"band musician"
"killers","killer","NOUN","Number=Plur","nmod","band","band","NOUN",18,"band killer"
"chiefs","chiefs","NOUN","Number=Plur","nmod","radio","radio","NOUN",2,"radio chiefs"
"new","new","ADJ","Degree=Pos","amod","radio","radio","NOUN",239,"radio new"
"raunchy","raunchy","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band raunchy"
"english","english","ADJ","Degree=Pos","amod","radio","radio","NOUN",62,"radio english"
"few","few","ADJ","Degree=Pos","amod","concerts","concert","NOUN",12,"concert few"
"first","first","ADJ","Degree=Pos|NumType=Ord","amod","concert","concert","NOUN",679,"concert first"
"brave","brave","ADJ","Degree=Pos","amod","band","band","NOUN",32,"band brave"
"celluloid","celluloid","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band celluloid"
"white","white","ADJ","Degree=Pos","amod","band","band","NOUN",50,"band white"
"deep","deep","ADJ","Degree=Pos","amod","band","band","NOUN",24,"band deep"
"yellow","yellow","ADJ","Degree=Pos","amod","bands","band","NOUN",20,"band yellow"
"leavenworth","leavenworth","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio leavenworth"
"street","street","NOUN","Number=Sing","nmod","radio","radio","NOUN",38,"radio street"
"bad","bad","ADJ","Degree=Pos","amod","art","art","NOUN",109,"art bad"
"western","western","ADJ","Degree=Pos","amod","art","art","NOUN",98,"art western"
"tunes","tune","NOUN","Number=Plur","nsubj","art","art","NOUN",1,"art tune"
"different","different","ADJ","Degree=Pos","amod","art","art","NOUN",11,"art different"
"painting","painting","NOUN","Number=Sing","nmod","art","art","NOUN",36,"art painting"
"better","better","ADJ","Degree=Cmp","amod","band","band","NOUN",43,"band better"
"rest","rest","NOUN","Number=Sing","nmod","radio","radio","NOUN",4,"radio rest"
"great","great","ADJ","Degree=Pos","amod","concert","concert","NOUN",121,"concert great"
"records","record","NOUN","Number=Plur","nsubj","radio","radio","NOUN",1,"radio record"
"cars","cars","NOUN","Number=Plur","obj","radio","radio","NOUN",2,"radio cars"
"portable","portable","ADJ","Degree=Pos","amod","radio","radio","NOUN",116,"radio portable"
"commerce","commerce","ADJ","Degree=Pos","amod","arts","art","NOUN",4,"art commerce"
"right","right","ADJ","Degree=Pos","amod","radio","radio","NOUN",51,"radio right"
"ugly","ugly","ADJ","Degree=Pos","amod","art","art","NOUN",2,"art ugly"
"formed","form","VERB","Tense=Past|VerbForm=Part","amod","art","art","NOUN",6,"art form"
"stem","stem","NOUN","Number=Sing","nmod","band","band","NOUN",1,"band stem"
"heart","heart","NOUN","Number=Sing","nmod","art","art","NOUN",7,"art heart"
"golden","golden","ADJ","Degree=Pos","amod","band","band","NOUN",7,"band golden"
"local","local","ADJ","Degree=Pos","amod","arts","art","NOUN",5,"art local"
"deception","deception","NOUN","Number=Sing","nmod","arts","art","NOUN",19,"art deception"
"weak","weak","ADJ","Degree=Pos","amod","band","band","VERB",9,"band weak"
"weak","weak","ADJ","Degree=Pos","nsubj","band","band","VERB",5,"band weak"
"lovely","lovely","ADJ","Degree=Pos","amod","art","art","NOUN",9,"art lovely"
"whole","whole","ADJ","Degree=Pos","amod","band","band","NOUN",531,"band whole"
"hat","hat","NOUN","Number=Sing","nmod","band","band","NOUN",14,"band hat"
"german","german","ADJ","Degree=Pos","amod","radio","radio","NOUN",82,"radio german"
"greater","greater","ADJ","Degree=Cmp","amod","radio","radio","NOUN",1,"radio greater"
"good","good","ADJ","Degree=Pos","amod","concert","concert","NOUN",57,"concert good"
"familiar","familiar","ADJ","Degree=Pos","nmod","art","art","NOUN",3,"art familiar"
"car","car","NOUN","Number=Sing","nmod","radio","radio","NOUN",158,"radio car"
"heaven","heaven","NOUN","Number=Sing","nmod","band","band","NOUN",1,"band heaven"
"expensive","expensive","ADJ","Degree=Pos","amod","radio","radio","NOUN",6,"radio expensive"
"little","little","ADJ","Degree=Pos","amod","radio","radio","NOUN",200,"radio little"
"live","live","ADJ","Degree=Pos","amod","band","band","NOUN",173,"band live"
"same","same","ADJ","Degree=Pos","amod","band","band","NOUN",185,"band same"
"private","private","ADJ","Degree=Pos","amod","art","art","NOUN",67,"art private"
"humorous","humorous","ADJ","Degree=Pos","amod","art","art","NOUN",5,"art humorous"
"cooking","cooking","NOUN","Number=Sing","nsubj","art","art","NOUN",50,"art cooking"
"creative","creative","ADJ","Degree=Pos","amod","art","art","NOUN",25,"art creative"
"transformation","transformation","NOUN","Number=Sing","nmod","art","art","NOUN",38,"art transformation"
"electronic","electronic","ADJ","Degree=Pos","amod","band","band","NOUN",18,"band electronic"
"shenzhen","shenzhen","NOUN","Number=Sing","nmod","band","band","NOUN",7,"band shenzhen"
"lies","lie","NOUN","Number=Plur","nmod","art","art","NOUN",12,"art lie"
"power","power","NOUN","Number=Sing","nmod","art","art","NOUN",8,"art power"
"defenders","defender","NOUN","Number=Plur","nmod","band","band","NOUN",3,"band defender"
"fresh","fresh","ADJ","Degree=Pos","amod","band","band","NOUN",20,"band fresh"
"casting","casting","NOUN","Number=Sing","nmod","art","art","NOUN",7,"art casting"
"greatest","greatest","ADJ","Degree=Sup","amod","band","band","NOUN",300,"band greatest"
"affirmative","affirmative","ADJ","Degree=Pos","amod","radio","radio","NOUN",8,"radio affirmative"
"living","live","VERB","VerbForm=Ger","amod","art","art","NOUN",2,"art live"
"fine","fine","ADJ","Degree=Pos","amod","art","art","NOUN",1080,"art fine"
"uruguay","uruguay","NOUN","Number=Sing","nmod","band","band","NOUN",1,"band uruguay"
"east","east","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band east"
"boxing","boxing","NOUN","Number=Sing","nmod","art","art","NOUN",18,"art boxing"
"next","next","ADJ","Degree=Pos","amod","bands","band","NOUN",1,"band next"
"decent","decent","ADJ","Degree=Pos","amod","art","art","NOUN",3,"art decent"
"bad","bad","ADJ","Degree=Pos","amod","concert","concert","NOUN",1,"concert bad"
"park","park","NOUN","Number=Sing","nmod","concert","concert","NOUN",103,"concert park"
"broad","broad","ADJ","Degree=Pos","amod","band","band","NOUN",23,"band broad"
"narrow","narrow","ADJ","Degree=Pos","amod","band","band","NOUN",138,"band narrow"
"african","african","ADJ","Degree=Pos","amod","art","art","NOUN",83,"art african"
"conceptual","conceptual","ADJ","Degree=Pos","amod","art","art","NOUN",71,"art conceptual"
"ex-owner","ex-owner","NOUN","Number=Sing","nsubj","art","art","NOUN",6,"art ex-owner"
"iron","iron","ADJ","Degree=Pos","amod","band","band","NOUN",34,"band iron"
"heel","heel","NOUN","Number=Sing","nmod","band","band","NOUN",9,"band heel"
"toed","toe","VERB","Tense=Past|VerbForm=Part","amod","band","band","NOUN",2,"band toe"
"sole","sole","ADJ","Degree=Pos","amod","band","band","NOUN",2,"band sole"
"visual","visual","ADJ","Degree=Pos","amod","art","art","NOUN",20,"art visual"
"spirit","spirit","NOUN","Number=Sing","nsubj","art","art","NOUN",1,"art spirit"
"police","police","NOUN","Number=Sing","obj","radio","radio","VERB",34,"radio police"
"expensive","expensive","ADJ","Degree=Pos","amod","art","art","NOUN",46,"art expensive"
"enough","enough","ADJ","Degree=Pos","amod","art","art","NOUN",26,"art enough"
"hot","hot","ADJ","Degree=Pos","amod","art","art","NOUN",12,"art hot"
"yoji","yoji","NOUN","Number=Plur","nmod","band","band","NOUN",1,"band yoji"
"yoji","yoji","ADJ","Degree=Pos","amod","concert","concert","NOUN",2,"concert yoji"
"sales","sale","NOUN","Number=Plur","nsubj","concert","concert","NOUN",1,"concert sale"
"lovers","lover","NOUN","Number=Plur","obl","radio","radio","NOUN",1,"radio lover"
"eastheimer","eastheimer","NOUN","Number=Sing","nsubj","radio","radio","NOUN",1,"radio eastheimer"
"assassination","assassination","NOUN","Number=Sing","nmod","art","art","NOUN",29,"art assassination"
"iron","iron","ADJ","Degree=Pos","amod","radio","radio","NOUN",3,"radio iron"
"crazy","crazy","ADJ","Degree=Pos","amod","band","band","NOUN",11,"band crazy"
"direct","direct","ADJ","Degree=Pos","amod","radio","radio","NOUN",4,"radio direct"
"robbery","robbery","NOUN","Number=Sing","nsubj","radio","radio","NOUN",1,"radio robbery"
"help","help","NOUN","Number=Sing","nmod","radio","radio","NOUN",102,"radio help"
"shoot","shoot","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio shoot"
"name","name","NOUN","Number=Sing","nsubj","art","art","NOUN",23,"art name"
"mercenaries","mercenary","NOUN","Number=Plur","nmod","band","band","NOUN",53,"band mercenary"
"lt","lt","NOUN","Number=Sing","nsubj","art","art","NOUN",17,"art lt"
"university","university","NOUN","Number=Sing","nmod","arts","art","NOUN",8,"art university"
"god","god","NOUN","Number=Sing","nmod","arts","art","NOUN",6,"art god"
"broken","broken","ADJ","Degree=Pos","amod","band","band","NOUN",2,"band broken"
"alpha","alpha","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio alpha"
"red","re","ADJ","Degree=Pos","amod","radio","radio","NOUN",2,"radio re"
"several","several","ADJ","Degree=Pos","amod","concerts","concert","NOUN",1,"concert several"
"actors","actor","NOUN","Number=Plur","nmod","band","band","NOUN",8,"band actor"
"bye","bye","NOUN","Number=Sing","nmod","art","art","NOUN",3,"art bye"
"necessities","necessity","NOUN","Number=Plur","nmod","art","art","NOUN",11,"art necessity"
"general","general","ADJ","Degree=Pos","amod","art","art","NOUN",3,"art general"
"respect","respect","NOUN","Number=Sing","nmod","art","art","NOUN",14,"art respect"
"above","above","ADJ","Degree=Pos","amod","art","art","NOUN",14,"art above"
"lavish","lavish","ADJ","Degree=Pos","amod","concert","concert","NOUN",2,"concert lavish"
"gold","gold","ADJ","Degree=Pos","amod","band","band","NOUN",140,"band gold"
"wood","wood","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio wood"
"bow","bow","NOUN","Number=Sing","nmod","art","art","NOUN",3,"art bow"
"isolation","isolation","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art isolation"
"tiny","tiny","ADJ","Degree=Pos","amod","radio","radio","NOUN",11,"radio tiny"
"difficult","difficult","ADJ","Degree=Pos","amod","art","art","NOUN",50,"art difficult"
"perceiving","perceiving","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art perceiving"
"room","room","NOUN","Number=Sing","nmod","radio","radio","NOUN",35,"radio room"
"dramatic","dramatic","ADJ","Degree=Pos","amod","art","art","NOUN",96,"art dramatic"
"dimension","dimension","NOUN","Number=Sing","nmod","band","band","NOUN",2,"band dimension"
"other","other","ADJ","Degree=Pos","amod","band","band","NOUN",245,"band other"
"international","international","ADJ","Degree=Pos","amod","band","band","NOUN",29,"band international"
"sound","sound","NOUN","Number=Sing","nsubj","band","band","NOUN",2,"band sound"
"digital","digital","ADJ","Degree=Pos","amod","radio","radio","NOUN",14,"radio digital"
"critic","critic","ADJ","Degree=Pos","amod","art","art","NOUN",34,"art critic"
"gentle","gentle","ADJ","Degree=Pos","amod","art","art","NOUN",53,"art gentle"
"sale","sale","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio sale"
"own","own","ADJ","Degree=Pos","amod","radio","radio","NOUN",60,"radio own"
"pop","pop","NOUN","Number=Sing","nsubj","art","art","NOUN",3,"art pop"
"fact","fact","NOUN","Number=Sing","obl","art","art","NOUN",3,"art fact"
"killers","killers","NOUN","Number=Plur","nmod","band","band","NOUN",17,"band killers"
"ruthless","ruthless","ADJ","Degree=Pos","amod","band","band","NOUN",17,"band ruthless"
"last","last","ADJ","Degree=Pos","amod","bands","band","NOUN",12,"band last"
"autobots","autobot","NOUN","Number=Plur","obj","radio","radio","VERB",1,"radio autobot"
"bellini","bellini","ADJ","Degree=Pos","amod","concert","concert","NOUN",2,"concert bellini"
"acupuncture","acupuncture","NOUN","Number=Sing","nmod","art","art","NOUN",3,"art acupuncture"
"heavenly","heavenly","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band heavenly"
"defense","defense","NOUN","Number=Sing","nmod","art","art","NOUN",90,"art defense"
"japanese","japanese","ADJ","Degree=Pos","amod","art","art","NOUN",110,"art japanese"
"knife","knife","NOUN","Number=Sing","nmod","art","art","NOUN",6,"art knife"
"phil","phil","NOUN","Number=Sing","nsubj","radio","radio","NOUN",1,"radio phil"
"talkback","talkback","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio talkback"
"fighting","fighting","NOUN","Number=Sing","nsubj","art","art","NOUN",5,"art fighting"
"act","act","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art act"
"real","real","ADJ","Degree=Pos","amod","art","art","NOUN",312,"art real"
"exacting","exacting","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art exacting"
"film","film","NOUN","Number=Sing","nsubj","art","art","NOUN",7,"art film"
"more","more","ADJ","Degree=Cmp","amod","radio","radio","NOUN",58,"radio more"
"tired","tired","ADJ","Degree=Pos","amod","radios","radio","NOUN",2,"radio tired"
"simple","simple","ADJ","Degree=Pos","amod","bands","band","NOUN",2,"band simple"
"conversation","conversation","NOUN","Number=Sing","nmod","art","art","NOUN",121,"art conversation"
"lost","lost","ADJ","Degree=Pos","amod","art","art","NOUN",206,"art lost"
"example","example","NOUN","Number=Sing","obl","art","art","NOUN",1,"art example"
"chimpanzees","chimpanzee","NOUN","Number=Plur","nmod","band","band","NOUN",4,"band chimpanzee"
"height","height","NOUN","Number=Sing","obj","radio","radio","NOUN",3,"radio height"
"kitchen","kitchen","NOUN","Number=Sing","nmod","radio","radio","NOUN",22,"radio kitchen"
"bus","bus","NOUN","Number=Sing","nmod","band","band","NOUN",4,"band bus"
"depot","depot","NOUN","Number=Sing","nmod","band","band","NOUN",4,"band depot"
"engraved","engrave","VERB","Tense=Past|VerbForm=Part","amod","band","band","NOUN",1,"band engrave"
"bed","bed","NOUN","Number=Sing","nmod","radio","radio","NOUN",9,"radio bed"
"pack","pack","NOUN","Number=Sing","nsubj","radio","radio","NOUN",2,"radio pack"
"photography","photography","NOUN","Number=Sing","nsubj","art","art","NOUN",25,"art photography"
"reproductive","reproductive","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art reproductive"
"time","time","NOUN","Number=Sing","obl","art","art","NOUN",6,"art time"
"knot","knot","NOUN","Number=Sing","nmod","art","art","NOUN",1,"art knot"
"background","background","NOUN","Number=Sing","nmod","radio","radio","NOUN",89,"radio background"
"french","french","ADJ","Degree=Pos","amod","art","art","NOUN",79,"art french"
"indians","indian","NOUN","Number=Plur","nmod","art","art","NOUN",7,"art indian"
"british","british","ADJ","Degree=Pos","amod","radio","radio","NOUN",11,"radio british"
"dr","dr","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art dr"
"basement","basement","NOUN","Number=Sing","nmod","art","art","NOUN",4,"art basement"
"japanese","japanese","ADJ","Degree=Pos","amod","radio","radio","NOUN",75,"radio japanese"
"seat","seat","NOUN","Number=Sing","nmod","radio","radio","NOUN",35,"radio seat"
"backup","backup","NOUN","Number=Sing","obl","radio","radio","VERB",67,"radio backup"
"karate","karate","NOUN","Number=Sing","nsubj","art","art","NOUN",22,"art karate"
"dinner","dinner","NOUN","Number=Sing","obl","radio","radio","NOUN",1,"radio dinner"
"serious","serious","ADJ","Degree=Pos","amod","art","art","NOUN",47,"art serious"
"sacrifices","sacrifice","NOUN","Number=Plur","obl","art","art","NOUN",1,"art sacrifice"
"fine","fine","ADJ","Degree=Pos","amod","arts","art","NOUN",360,"art fine"
"erotic","erotic","ADJ","Degree=Pos","amod","art","art","NOUN",79,"art erotic"
"head","head","NOUN","Number=Sing","nmod","band","band","NOUN",13,"band head"
"july","july","ADJ","Degree=Pos","amod","concert","concert","NOUN",9,"concert july"
"cryonic","cryonic","ADJ","Degree=Pos","amod","band","band","NOUN",2,"band cryonic"
