"where","cue","feature","translated","frequency_feature","frequency_translated","n","normalized_feature","normalized_translated","pos_cue","pos_feature","pos_translated","a1","a2","a3","FSG","BSG","word_list","school_code","id"
"b","art","painted","paint",1,37,60,1.666666667,61.66666667,"noun","verb","noun","past_tense","0","0",0.22,0.018,"mturk",4,"art paint"
"b","art","painting","paint",18,37,60,30,61.66666667,"noun","noun","noun","present_participle","0","0",0.22,0.018,"mturk",4,"art paint"
"b","art","paintings","paint",9,37,60,15,61.66666667,"noun","noun","noun","numbers","0","0",0.22,0.018,"mturk",4,"art paint"
"b","art","paints","paint",1,37,60,1.666666667,61.66666667,"noun","verb","noun","numbers","0","0",0.22,0.018,"mturk",4,"art paint"
"b","art","people","person",7,10,60,11.66666667,16.66666667,"noun","noun","noun","numbers","0","0",NA,NA,"mturk",4,"art person"
"b","art","person","person",2,10,60,3.333333333,16.66666667,"noun","noun","noun","0","0","0",NA,NA,"mturk",4,"art person"
"b","art","personal","person",1,10,60,1.666666667,16.66666667,"noun","adjective","noun","characteristic","0","0",NA,NA,"mturk",4,"art person"
"b","art","sculpted","sculpt",1,10,60,1.666666667,16.66666667,"noun","verb","verb","past_tense","0","0",NA,NA,"mturk",4,"art sculpt"
"b","art","sculpture","sculpt",3,10,60,5,16.66666667,"noun","noun","verb","characteristic","0","0",NA,NA,"mturk",4,"art sculpt"
"b","art","sculptures","sculpt",6,10,60,10,16.66666667,"noun","noun","verb","characteristic","numbers","0",NA,NA,"mturk",4,"art sculpt"
"b","band","drummer","drum",3,12,59,5.084745763,20.33898305,"noun","noun","noun","person_object","0","0",0.035,0.167,"wl4",1,"band drum"
"b","band","drums","drum",9,12,59,15.25423729,20.33898305,"noun","noun","noun","numbers","0","0",0.035,0.167,"wl4",1,"band drum"
"b","band","group","group",13,14,59,22.03389831,23.72881356,"noun","noun","noun","0","0","0",0.021,0.014,"wl4",1,"band group"
"b","band","groups","group",1,14,59,1.694915254,23.72881356,"noun","noun","noun","numbers","0","0",0.021,0.014,"wl4",1,"band group"
"b","band","instrument","instrument",3,27,59,5.084745763,45.76271186,"noun","noun","noun","0","0","0",0.042,0.027,"wl4",1,"band instrument"
"b","band","instruments","instrument",24,27,59,40.6779661,45.76271186,"noun","noun","noun","numbers","0","0",0.042,0.027,"wl4",1,"band instrument"
"b","band","music","music",38,52,59,64.40677966,88.13559322,"noun","noun","noun","0","0","0",0.432,0.02,"wl4",1,"band music"
"b","band","musical","music",7,52,59,11.86440678,88.13559322,"noun","adjective","noun","characteristic","0","0",0.432,0.02,"wl4",1,"band music"
"b","band","musicians","music",7,52,59,11.86440678,88.13559322,"noun","noun","noun","person_object","numbers","0",0.432,0.02,"wl4",1,"band music"
"b","band","play","play",6,15,59,10.16949153,25.42372881,"noun","verb","verb","0","0","0",0.056,0,"wl4",1,"band play"
"b","band","playing","play",1,15,59,1.694915254,25.42372881,"noun","verb","verb","present_participle","0","0",0.056,0,"wl4",1,"band play"
"b","band","plays","play",8,15,59,13.55932203,25.42372881,"noun","verb","verb","third_person","0","0",0.056,0,"wl4",1,"band play"
"b","band","rock","rock",10,10,59,16.94915254,16.94915254,"noun","noun","noun","0","0","0",0.062,0,"wl4",1,"band rock"
"b","concert","band","band",25,38,67,37.31343284,56.71641791,"noun","noun","noun","0","0","0",0.048,0,"wl16b",3,"concert band"
"b","concert","bands","band",13,38,67,19.40298507,56.71641791,"noun","noun","noun","numbers","0","0",0.048,0,"wl16b",3,"concert band"
"b","concert","crowd","crowd",5,21,67,7.462686567,31.34328358,"noun","noun","noun","0","0","0",0.014,0.036,"wl16b",3,"concert crowd"
"b","concert","crowded","crowd",9,21,67,13.43283582,31.34328358,"noun","verb","noun","past_tense","0","0",0.014,0.036,"wl16b",3,"concert crowd"
"b","concert","crowds","crowd",7,21,67,10.44776119,31.34328358,"noun","noun","noun","numbers","0","0",0.014,0.036,"wl16b",3,"concert crowd"
"b","concert","dance","dance",2,17,67,2.985074627,25.37313433,"noun","noun","noun","0","0","0",NA,NA,"wl16b",3,"concert dance"
"b","concert","dancers","dance",2,17,67,2.985074627,25.37313433,"noun","noun","noun","person_object","numbers","0",NA,NA,"wl16b",3,"concert dance"
"b","concert","dancing","dance",13,17,67,19.40298507,25.37313433,"noun","noun","noun","present_participle","0","0",NA,NA,"wl16b",3,"concert dance"
"b","concert","fun","fun",40,40,67,59.70149254,59.70149254,"noun","noun","noun","0","0","0",0.048,0,"wl16b",3,"concert fun"
"b","concert","instruments","instrument",11,11,67,16.41791045,16.41791045,"noun","noun","noun","numbers","0","0",NA,NA,"wl16b",3,"concert instrument"
"b","concert","light","light",1,16,67,1.492537313,23.88059701,"noun","noun","noun","0","0","0",NA,NA,"wl16b",3,"concert light"
"b","concert","lighters","light",1,16,67,1.492537313,23.88059701,"noun","noun","noun","person_object","numbers","0",NA,NA,"wl16b",3,"concert light"
"b","concert","lights","light",14,16,67,20.89552239,23.88059701,"noun","noun","noun","numbers","0","0",NA,NA,"wl16b",3,"concert light"
"b","concert","loud","loud",61,61,67,91.04477612,91.04477612,"noun","adjective","adjective","0","0","0",0.048,0,"wl16b",3,"concert loud"
"b","concert","music","music",114,133,67,100,100,"noun","noun","noun","0","0","0",0.395,0,"wl16b",3,"concert music"
"b","concert","musical","music",15,133,67,22.3880597,100,"noun","adjective","noun","characteristic","0","0",0.395,0,"wl16b",3,"concert music"
"b","concert","musicale","music",1,133,67,1.492537313,100,"noun","noun","noun","characteristic","0","0",0.395,0,"wl16b",3,"concert music"
"b","concert","musician","music",2,133,67,2.985074627,100,"noun","noun","noun","person_object","0","0",0.395,0,"wl16b",3,"concert music"
"b","concert","musicians","music",1,133,67,1.492537313,100,"noun","noun","noun","person_object","numbers","0",0.395,0,"wl16b",3,"concert music"
"b","concert","people","person",27,28,67,40.29850746,41.79104478,"noun","noun","noun","numbers","0","0",NA,NA,"wl16b",3,"concert person"
"b","concert","perform","perform",2,33,67,2.985074627,49.25373134,"noun","verb","verb","0","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","performance","perform",23,33,67,34.32835821,49.25373134,"noun","noun","verb","characteristic","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","performed","perform",2,33,67,2.985074627,49.25373134,"noun","verb","verb","past_tense","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","performer","perform",3,33,67,4.47761194,49.25373134,"noun","noun","verb","person_object","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","performers","perform",2,33,67,2.985074627,49.25373134,"noun","noun","verb","numbers","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","performs","perform",1,33,67,1.492537313,49.25373134,"noun","verb","verb","third_person","0","0",NA,NA,"wl16b",3,"concert perform"
"b","concert","person","person",1,28,67,1.492537313,41.79104478,"noun","noun","noun","0","0","0",NA,NA,"wl16b",3,"concert person"
"b","concert","show","show",10,11,67,14.92537313,16.41791045,"noun","verb","verb","0","0","0",0.041,0.014,"wl16b",3,"concert show"
"b","concert","shows","show",1,11,67,1.492537313,16.41791045,"noun","verb","verb","third_person","0","0",0.041,0.014,"wl16b",3,"concert show"
"b","concert","sing","sing",4,37,67,5.970149254,55.2238806,"noun","verb","verb","0","0","0",NA,NA,"wl16b",3,"concert sing"
"b","concert","singer","sing",8,37,67,11.94029851,55.2238806,"noun","noun","verb","person_object","0","0",0.014,0,"wl16b",3,"concert sing"
"b","concert","singers","sing",7,37,67,10.44776119,55.2238806,"noun","noun","verb","numbers","0","0",NA,NA,"wl16b",3,"concert sing"
"b","concert","singing","sing",17,37,67,25.37313433,55.2238806,"noun","verb","verb","present_participle","0","0",NA,NA,"wl16b",3,"concert sing"
"b","concert","sings","sing",1,37,67,1.492537313,55.2238806,"noun","verb","verb","third_person","0","0",NA,NA,"wl16b",3,"concert sing"
"b","concert","stage","stage",12,12,67,17.91044776,17.91044776,"noun","noun","noun","0","0","0",NA,NA,"wl16b",3,"concert stage"
"b","concert","ticket","ticket",4,20,67,5.970149254,29.85074627,"noun","noun","noun","0","0","0",NA,NA,"wl16b",3,"concert ticket"
"b","concert","tickets","ticket",16,20,67,23.88059701,29.85074627,"noun","noun","noun","numbers","0","0",NA,NA,"wl16b",3,"concert ticket"
"b","radio","car","car",9,14,71,12.67605634,19.71830986,"noun","noun","noun","0","0","0",NA,NA,"wl13",3,"radio car"
"b","radio","cars","car",5,14,71,7.042253521,19.71830986,"noun","noun","noun","numbers","0","0",NA,NA,"wl13",3,"radio car"
"b","radio","listen","listen",10,10,71,14.08450704,14.08450704,"noun","verb","verb","0","0","0",0.027,0,"wl13",3,"radio listen"
"b","radio","music","music",53,55,71,74.64788732,77.46478873,"noun","noun","noun","0","0","0",0.27,0.041,"wl13",3,"radio music"
"b","radio","musical","music",1,55,71,1.408450704,77.46478873,"noun","adjective","noun","characteristic","0","0",0.27,0.041,"wl13",3,"radio music"
"b","radio","musician","music",1,55,71,1.408450704,77.46478873,"noun","noun","noun","person_object","0","0",0.27,0.041,"wl13",3,"radio music"
"b","radio","show","show",4,11,71,5.633802817,15.49295775,"noun","verb","verb","0","0","0",NA,NA,"wl13",3,"radio show"
"b","radio","shows","show",7,11,71,9.85915493,15.49295775,"noun","verb","verb","third_person","0","0",NA,NA,"wl13",3,"radio show"
"b","radio","talk","talk",11,11,71,15.49295775,15.49295775,"noun","verb","verb","0","0","0",NA,NA,"wl13",3,"radio talk"
